order_id,customer_id,order_date,order_amount,shipping_address,order_status
d27d8139-a252-4402-9fd0-23a85592285e,2824,2023-05-28,22.26,"32181 Johnson Course Apt. 389, New Jamesside, MT 29394",pending
31d3bfde-52dd-4d35-bca6-ee6bddf1eb60,5012,2022-05-23,119.37,"65423 Garcia Light, West Melanieview, AS 06196",delivered
c381a67d-68e6-4d40-912d-77cdc343036f,2679,2023-11-19,341.58,"84959 Janet Cape Apt. 413, South Joshuastad, GA 49021",delivered
e967e883-7683-46de-9d68-5b0309644c68,2424,2021-11-21,299.34,"283 Steven Groves, Lake Mark, WI 07832",shipped
2533e6a8-1b87-40f4-bf91-ca194cfeb54a,1488,2021-03-21,55.91,"4139 Lewis Parks Suite 724, East Julie, ND 34939",shipped
9f3f68c9-bc8d-4b62-aba5-9d16738d2940,9279,2023-12-23,304.99,"3287 Katelyn Wall Apt. 226, South Patrickmouth, NC 33454",delivered
7ab390cc-351e-4282-b4e0-e64ef4c31bab,4257,2025-03-02,360.85,"184 Rodriguez Mews, South Aaron, VA 94830",delivered
b860a5a4-7fb6-4752-9f97-b205bc9d5a5a,9928,2021-05-27,215.56,"148 Eric Track, New Stephanie, NC 00575",pending
c4aa53ec-938a-4046-92cb-3da3ace75401,5557,2023-03-10,406.62,"4303 Christopher Oval, Port Amandaberg, DC 86975",shipped
a478c966-8595-47ca-9e40-c97999444ac6,3615,2022-07-12,352.09,"963 Jennifer Locks Suite 787, East Jeffreymouth, AK 77611",pending
062b8920-588e-423f-a207-b8baa85722aa,5552,2022-12-12,86.18,"03105 Willie Harbors, Lewisberg, VA 75348",pending
c5c2b825-8f6c-413b-8629-d6016c9cfaf0,2674,2023-01-25,55.45,"3116 Henderson Mountain Apt. 106, Laurenville, IA 25613",shipped
208eb520-921c-4760-91ef-81a8bbcacf9f,6881,2021-01-04,425.27,"47317 Brent Plains Apt. 132, Tuckerborough, VI 53066",delivered
ddcd504e-fc78-4c8a-a413-6dc3fbba0403,5333,2024-10-20,405.49,"4746 Moore Hill, North Beth, ND 08490",delivered
4b6e71a1-981e-4fcf-8e40-32eb132b6ead,8527,2023-12-25,272.75,"820 Melissa Cliff Apt. 361, New Brooke, RI 11246",pending
8812645b-b11f-4e89-be41-230fc344fdb8,2291,2022-03-25,280.5,"3534 Anderson Rue Suite 751, South Christineshire, CT 10103",delivered
af18057f-1470-44b9-81ee-6047e255c398,6925,2022-11-11,292.9,"1354 Samuel Plains, Cherylhaven, AL 88039",delivered
91aa0969-a980-47e2-94f1-0934138f7190,2139,2024-05-07,32.45,"41182 Campbell Fords, Jamesview, NY 64533",shipped
53daca7e-9985-498f-ab64-960e554d6a4c,5741,2021-05-03,492.76,"PSC 0164, Box 0052, APO AP 34836",shipped
0f2d0324-502b-48fc-b3aa-31050b91cb13,2654,2020-11-10,196.26,"011 Amy Village Suite 982, Andersonport, MN 05730",pending
0df84043-0f29-4a43-8ba2-9038978376d4,6977,2024-10-13,89.7,"158 Dickson Summit, East Michelle, AS 23707",pending
3441b1d8-e34c-4ae5-92b5-53cf722ff1a4,4432,2024-09-09,338.39,"3421 Brennan Walks Suite 337, Kevinbury, IN 03602",delivered
aaaacddb-a7f9-4221-a828-bc449d747993,2169,2023-07-07,308.47,"45868 Crosby Crescent Suite 294, North Candacestad, VA 41615",shipped
370c52d4-d1eb-43cd-8953-a82deff9b837,9751,2022-04-28,367.27,"Unit 1693 Box 4060, DPO AP 71076",shipped
2e243de3-6193-4636-bff1-1090d21f1810,8573,2023-08-28,195.93,"USNS Diaz, FPO AE 87563",delivered
0974406e-b0f5-49b9-8171-50354995a571,4598,2024-11-24,345.46,"484 Nguyen Square, Angelaborough, MT 87654",shipped
054134c2-ca36-4f72-8479-ab6bcbe53051,4752,2025-01-02,412.68,"946 Kevin Fords, Floydmouth, NH 58406",pending
bbb91c6e-bbe3-4f74-b1ed-09042a08cff6,7572,2022-05-09,141.19,"214 Davis Terrace Apt. 433, North Brandon, NJ 80621",shipped
dcc908ce-6eb9-4148-8bbd-403ec98f3fe8,6155,2024-07-09,114.19,"936 Ross Drive Apt. 163, Port Susan, NC 61390",pending
14228321-df1a-48ab-a5e5-b5bd00fa2b85,7482,2020-04-07,443.49,"2788 Dodson Mills, Rivasside, NV 21362",delivered
deba8515-0d51-4a5d-836e-8cf8bef1a17c,8517,2023-12-16,80.01,"48734 Jones Heights Apt. 455, East Edwardfurt, UT 20529",shipped
53d844ea-f837-4d5d-8e3d-e309ad873fa9,5040,2023-10-05,375.04,"8760 Marissa Loaf Apt. 967, West Kennethfurt, PR 55422",delivered
9c085e3a-28d5-48f0-ae5b-4006f2562ab3,5304,2022-11-12,376.04,"3467 Paul Skyway, Ramseymouth, PW 17229",pending
050bf42b-d46b-4548-9402-84b1424564da,7543,2025-03-21,187.38,"901 Taylor Mountain Apt. 046, Jasonmouth, MA 50193",shipped
f859dd24-2c29-412d-a276-74ff6af3a98a,9348,2021-06-24,251.82,"USCGC King, FPO AE 62145",shipped
5633443e-a9f4-417f-ad64-5f1f7405de0b,2796,2020-02-07,84.89,"10033 Christine Garden Apt. 719, South Holly, WI 48852",shipped
4e037c8a-2359-4889-9931-bb6883056b19,7916,2020-11-22,302.24,"41904 Sanders Stravenue, North Brittany, MP 82714",pending
c9eb3eb9-c0be-4884-afe6-86677084054c,7252,2021-04-17,301.99,"919 Michael Meadow Suite 185, Port Robertfort, CT 57323",pending
0014b0dc-747b-4b88-abd7-7397212535a4,9669,2025-02-10,133.19,"262 Gilbert Plain Suite 769, Marcusbury, MP 11860",delivered
c9822b6b-d81d-467a-b948-1c070e774b97,1188,2021-06-26,343.34,"965 Troy Islands Apt. 735, Matthewview, OH 01831",shipped
8fdc47cc-24ec-4559-9ac2-9d91abe93bca,9797,2022-10-01,377.93,"678 Hannah Rue, Westtown, CO 39067",delivered
ca998b1a-b734-4070-9262-66064771313a,6573,2021-03-06,64.66,"957 Coleman Summit Suite 574, Johnville, VA 25743",pending
2c610330-5b13-4ea1-89d5-e22b4ea87343,3591,2021-09-05,232.32,"37498 Hooper Village, West Jeremy, HI 40119",delivered
4381b0c4-ce37-4a52-91f3-41ae1b120e4f,5315,2020-01-28,486.23,"08427 Monique Ports Suite 777, Jackton, KS 63117",shipped
f5498fa8-22e6-49d8-bcb3-14e6322dc0a8,9317,2020-08-09,457.19,"90229 Miller Gateway Apt. 869, Port Alexandra, NV 58529",delivered
433e208c-a01b-4b38-9a72-c6552454de55,5889,2021-08-01,422.42,"9909 Stacey Fords Apt. 412, East Andrea, GA 00851",delivered
1fbd0597-9383-49c7-9f49-3f367ab3ab48,4258,2022-03-05,84.89,"0344 Jones Fort Suite 936, New Jeffreyberg, PW 35317",shipped
7510718b-8730-46f0-b7a8-c5f5ba6a9adf,9837,2024-05-25,477.21,"9947 Taylor Hollow, Benderhaven, ND 65223",delivered
6241b44f-fb7d-4a93-9dda-c5e96b6aaf94,1009,2022-05-01,303.48,"594 Christopher Spring Apt. 490, South April, NV 36959",pending
f067d2ca-db03-4c73-9530-f67be71f3de3,1319,2020-12-18,64.82,"75655 Mia Isle Suite 746, South Christopherview, MD 15695",pending
c7a1fd56-a7e6-4efe-8b22-8c3496b4ebe1,6038,2025-03-01,127.33,"876 Jacob Lake, Garrettton, IL 35504",shipped
4cd6b291-2676-440f-9e02-a5da1195782d,2290,2022-12-03,51.97,"PSC 7710, Box 9324, APO AP 02293",pending
e6feb163-375e-4bed-bea4-7058ac11a7a6,2133,2022-12-09,489.21,"1274 Perry Orchard, Sanchezside, FL 50778",delivered
9312768e-57e6-4679-9e4d-dd57e26dd93b,3060,2021-01-05,72.91,"46584 Justin Hills, Grimesmouth, ND 63984",pending
687bc393-d069-43c7-83f3-e0c4806cd9ce,3705,2021-11-01,139.88,"5339 Hall Trail Suite 057, Hughesberg, NM 05353",delivered
138b03dc-0cea-4859-9466-d67afe9e857b,7932,2020-09-02,482.54,"Unit 5171 Box 8702, DPO AA 86324",delivered
a93aff79-4611-4c85-96f6-667372eaaeed,4295,2025-02-28,359.34,"9615 Finley Road Suite 809, East Crystalport, IN 98381",pending
79d58ddd-3f4f-4a98-b490-1aa6a5277890,7118,2020-06-24,224.67,"Unit 1724 Box 0050, DPO AA 47485",delivered
